I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,Label
4.0,0,128.0,42.0,7.0,44.0,4.0,44.0,42.0,1.0,1.0,2.0,42.0,82,96,244,251,3,4,250,2,1,73,1312,1963,394,3,1240,504,3,557,12,2,1507,5,0,757,1,698,0
4.0,2041,2.0,3.0,46.0,3.0,10.0,5.0,51.0,1.0,4.0,0.0,3.0,0,10,497,1871,3,4,946,2,1,323,901,220,1108,13,966,629,6,554,0,0,207,0,1,1101,0,0,1
0.0,29,0.0,2.0,10154.0,0.0,0.0,6.0,93.0,0.0,0.0,0.0,2.0,45,13,1680,1559,3,4,1572,1,1,349,96,2023,451,13,928,136,5,142,0,0,1049,0,1,916,0,0,0
1.0,100,2.0,2.0,262.0,42.0,32.0,45.0,963.0,1.0,7.0,0.0,22.0,45,63,889,1090,27,4,969,8,1,416,797,1061,21,13,819,733,8,595,37,1,596,0,2,457,1,328,0
2.0,3,12.0,33.0,14.0,15.0,2.0,29.0,34.0,1.0,1.0,1.0,10.0,0,0,2321,1218,3,0,1612,23,1,429,244,1150,1086,3,969,1867,4,67,37,1,1227,0,0,995,1,353,1
0.0,1124,3.0,3.0,9329.0,383.0,5.0,6.0,747.0,0.0,2.0,0.0,3.0,0,251,1111,1738,12,4,1676,2,1,685,1155,70,1107,3,1081,1873,8,208,202,3,29,0,7,332,15,59,0
0.0,-1,0.0,0.0,4374.0,5.0,8.0,0.0,52.0,0.0,1.0,0.0,0.0,0,162,940,1264,15,6,1600,23,1,8,240,212,129,13,654,129,6,699,37,1,952,5,1,311,1,970,0
1.0,87,7.0,14.0,5.0,10.0,8.0,13.0,65.0,1.0,3.0,0.0,10.0,0,95,2184,621,3,0,561,23,1,349,1007,1096,886,13,274,77,8,219,211,3,688,0,0,486,25,650,1
0.0,1,7.0,3.0,10087.0,67.0,6.0,3.0,57.0,0.0,3.0,0.0,3.0,0,269,2375,835,3,1,315,26,1,1398,310,1262,66,2,143,740,8,46,258,1,1196,0,1,126,29,704,1
0.0,2,5.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,27,66,1882,349,15,6,1141,23,0,349,290,1955,604,2,1248,2061,2,428,0,0,1496,0,3,504,0,0,0
0.0,19,9.0,3.0,14414.0,1353.0,3.0,1.0,362.0,0.0,1.0,0.0,3.0,82,12,737,607,3,4,211,14,1,666,376,963,1068,2,285,523,6,268,37,2,550,0,1,332,22,275,0
0.0,60,3.0,0.0,121222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,96,1721,1474,12,6,436,23,0,349,762,1250,219,9,436,116,0,455,60,1,792,0,1,838,1,852,0
0.0,1,12.0,5.0,40766.0,0.0,0.0,12.0,150.0,0.0,0.0,0.0,12.0,55,308,2402,975,3,4,1433,2,1,932,792,2020,868,2,742,1088,1,267,0,0,1690,5,0,559,0,0,0
0.0,2375,45.0,0.0,11482.0,535.0,5.0,28.0,368.0,0.0,2.0,0.0,25.0,45,93,1988,1457,3,4,598,16,1,349,868,2013,223,8,1,1136,8,264,0,0,2,0,2,311,0,0,0
0.0,1,0.0,0.0,15726.0,83.0,1.0,2.0,24.0,0.0,1.0,0.0,0.0,37,148,1062,167,3,5,1171,2,1,178,764,2275,845,13,718,1073,1,720,0,0,484,0,0,335,0,0,1
0.0,1,3.0,0.0,16044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,157,1630,1009,3,1,603,2,1,124,866,1952,1120,13,839,1679,8,2,37,3,879,0,0,126,29,584,0
0.0,5,10.0,0.0,128747.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,182,701,837,1,4,1648,2,0,349,1055,1714,627,2,850,1398,5,101,37,2,1974,0,0,332,29,275,0
0.0,2903,1.0,0.0,1912.0,83.0,5.0,34.0,190.0,0.0,4.0,0.0,1.0,56,93,1988,1457,3,4,1136,2,1,702,1309,2013,1036,8,1,1136,8,264,0,0,2,0,0,311,0,0,0
